SMILES,shift_value
O=C(O)C1NC(C(F)(F)F)N2C1CCCC2,-62.7
CN1C(=O)C[C@H](C(=O)O)[C@H]1C1CCC(C(F)(F)F)CC1,-62.73
CN1CCN(C(=O)CC(F)(F)F)C(CN)C1.Cl,-62.8
CNC(=O)N1CCC(CC(F)(F)F)CC1,-62.83
CC1CC2CCCCC2C1NC(=O)CC(F)(F)F,-62.86
O=C(CC(F)(F)F)N1CCCC2(CC=CCC2)C1,-62.95
O=C(C1CCCNC1O)N1CCC(CC(F)(F)F)CC1,-62.98
FC1=NC2=CC=CC=C2C=C1,-63.0
CC1=CC(F)=NC(C)=N1,-63.0
CCCCCCCCC1=NC2=CC=CC=C2C(C(F)(F)F)=C1,-63.0
FC(F)(F)C1=CN=C(Br)C=C1,-63.0
FC(F)(F)C1=CC=CC=C1,-63.0
FC(F)(F)C1=NC=CC2=CC=CC=C21,-63.0
CN1C(C(F)(F)F)=NC2=C1C=CC=C2,-63.0
FC(F)(F)/C=C/C=C/C1=CC=CC=C1,-63.0
[H]/C(C1=CC=CC=C1)=C(/[H])C(F)(F)F,-63.0
C=C(CC)CC(F)(F)F,-63.0
CN(C)C(=O)CC(F)(F)F,-63.0
N[C@H]1CCN(S(=O)(=O)C2CCC(C(F)(F)F)CC2)C1,-63.0
O=C1CCC(C(=O)N2CCC(CC(F)(F)F)CC2)CN1,-63.01
OCCC1CCCNC1C(F)(F)F,-63.02
O=C(C1CC=CC1)N1CCC(C(F)(F)F)C2(CCC2)C1,-63.05
O=C(O)C1NC(C(F)(F)F)N2CCCCC12,-63.13
CC1CC(N2CCCC(CC(F)(F)F)C2)CCN1,-63.17
O=C(CO)N1CCCC(CC(F)(F)F)C1,-63.2
FC(F)(F)C1NCC[NH]1,-63.2
CC(C)C1ONC(C(F)(F)F)C1C(=O)O,-63.27
FC(F)(F)C1=CC=CC(C(F)(F)F)=C1,-63.3
O=C([O-])CC1NC(C(F)(F)F)CS1.[Na+],-63.38
FC(F)(F)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,-63.4
CC1CNC(CN2C(C(F)(F)F)CSC2=O)CN1,-63.44
O=C1CCN(CC2NC(C(F)(F)F)CS2)CCN1,-63.49
FC(F)(F)C1=CC=C(C(F)(F)F)C=C1,-63.5
FC(F)(F)C1=NC2=CC=CC=C2C2=C1C=CC=C2,-63.5
CN1CC(NC2CC(C#N)CCC2C(F)(F)F)CCC1=O,-63.52
CC(=O)N[C@H]1CCCC[C@H]1CC(F)(F)F,-63.56
C[C@@H]1OCCN(C(=O)C2CCN(C)N2)[C@@H]1C(F)(F)F,-63.78
CC1NCN(CC2CCCNC2C(F)(F)F)N1,-63.96
FC(F)(F)C1CSC(CN2CCNCC2)N1,-63.96
FC1=NC=NC2=CC=CC=C21,-64.0
FC(Cl)(Cl)C(Cl)(Cl)Cl,-64.0
[H]C([H])=C(C(=O)C1=CC=CC=C1)C(F)(F)F,-64.0
FC(F)(F)C1=CC=CO1,-64.0
[H]C([H])=C(C(=O)CCCCCCC)C(F)(F)F,-64.0
CP(C)C(F)(F)F,-64.0
[H]/C(C1=CC=CS1)=C(/[H])C(F)(F)F,-64.0
CCCCC/C=C/C=C/C(F)(F)F,-64.0
[H]/C(C1=CC=C(C)C=C1)=C(/[H])C(F)(F)F,-64.0
C#CCC(F)(F)F,-64.0
O=C(O)CC(F)(F)F,-64.0
CC(=O)NC1CC(C(F)(F)F)NO1,-64.09
CN1C(C(F)(F)F)CCCC1=O,-64.14
CC1CCN(C(=O)NC2NC(C(F)(F)F)CS2)C1,-64.19
CC1(C)CN(C(=O)C2CC[NH]N2)CCC1C(F)(F)F,-64.21
O=C(NC1NNC(C(F)(F)F)[NH]1)C1CCCO1,-64.32
FC(F)(F)C1NC[NH]N1,-64.49
CCOC(=O)C(F)(F)Cl,-64.5
CC1(C)CN(C(=O)C2CCNCC2)CCC1C(F)(F)F,-64.62
O=C(O)C1CCC(C(F)(F)F)O1,-64.65
FC(F)(F)C1CSC(N2CCNCC2)N1,-64.72
O=C([O-])CC1CC(C(F)(F)F)CCN1.[Na+],-64.75
OCC1CCN(C2NC(C(F)(F)F)CS2)CC1,-64.75
CC(O)CC(F)(F)F,-64.8
N#CC1C[NH]C(C(=O)NC2CC(C(F)(F)F)CCN2)C1,-64.84
O=C(NC1CC(C(F)(F)F)CCN1)C1CSCN1,-64.85
CNC1NC(C(F)(F)F)CO1,-64.86
FC(F)(F)C1CC2CC[NH]C2CN1,-64.86
CC1(C)C(C(F)(F)F)CCN1C(=O)C1CCC(O)NC1,-64.93
N#CC1CCCN(CCC(F)(F)F)C1=O,-64.93
CCOC(=O)C(F)(Br)Br,-65.0
[H]C1=C(CCC2=CC=CC=C2)OC(C(F)(F)F)=C1[H],-65.0
FC(F)(F)C1=CC(Cl)=NC=C1,-65.0
